Year,Value,Longitude,Latitude,archiveType,ID,VariableName,Depth,Thickness
1989.706,-0.27,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1989.872,0.09,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1990.042,-0.05,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1990.208,-0.12,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1990.374,0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1990.54,-0.01,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1990.706,-0.19,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1990.872,-0.15,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1991.042,-0.28,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1991.208,-0.11,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1991.374,-0.09,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1991.54,-0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1991.706,-0.02,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1991.872,-0.08,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1992.042,0.02,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1992.208,-0.23,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1992.374,-0.3,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1992.54,-0.27,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1992.706,-0.14,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1992.872,-0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1993.042,-0.03,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1993.208,-0.02,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1993.374,-0.02,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1993.54,-0.03,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1993.706,-0.05,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1993.872,-0.16,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1994.042,-0.29,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1994.208,-0.39,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1994.374,-0.33,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1994.54,-0.18,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1994.706,-0.04,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1994.872,0.04,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1995.042,-0.1,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1995.208,-0.01,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1995.374,-0.01,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1995.54,-0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1995.706,-0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1995.872,0.07,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1996.042,-0.04,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1996.208,-0.05,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1996.374,0.02,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1996.54,0.01,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1996.706,0.04,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1996.872,0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1997.042,0.07,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1997.208,0.19,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1997.374,0.04,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1997.54,0.09,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1997.706,-0.02,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1997.872,-0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1998.042,0.01,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1998.208,-0.12,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1998.374,-0.27,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1998.54,-0.23,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1998.706,-0.04,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1998.872,0.1,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1999.042,0.02,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1999.208,-0.05,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1999.374,0.05,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1999.54,0.12,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1999.706,0.1,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1999.872,0.08,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2000.042,0.07,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
2000.208,0.05,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2000.374,0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2000.54,0.16,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2000.706,0.15,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2000.872,0.07,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2001.042,0.05,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
2001.208,0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2001.374,0.15,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2001.54,0.12,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2001.706,0.07,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2001.872,0.08,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2002.042,-0.07,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
2002.208,-0.07,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2002.374,-0.08,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2002.54,-0.01,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2002.706,0.04,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2002.872,0.05,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2003.042,0.11,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
2003.208,-0.1,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2003.374,-0.17,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2003.54,-0.08,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2003.706,0.01,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2003.872,0.04,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2004.042,0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
2004.208,0.08,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2004.374,0.03,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2004.54,-0.02,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2004.706,-0.05,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2004.872,0.0,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
