 800208    39.50  1365.8356
 800209    40.50  1366.0563
 800210    41.50   -99.0000
 800211    42.50  1366.0597
 800212    43.50  1366.2706
 800213    44.50  1366.3519
 800214    45.50   -99.0000
 800215    46.50  1366.0169
 800216    47.50  1365.8892
 800217    48.50  1366.1098
 800218    49.50   -99.0000
 800219    50.50  1366.2526
 800220    51.50  1366.4533
 800221    52.50  1366.9527
 800222    53.50   -99.0000
 800223    54.50  1366.3787
 800224    55.50  1366.5396
 800225    56.50  1366.5910
 800226    57.50   -99.0000
 800227    58.50  1366.7635
 800228    59.50  1367.1931
 800229    60.50  1367.2047
 800301    61.50   -99.0000
 800302    62.50  1366.8595
 800303    63.50  1367.1398
 800304    64.50  1367.1115
 800305    65.50   -99.0000
 800306    66.50  1366.6891
 800307    67.50  1366.6998
 800308    68.50  1366.6706
 800309    69.50  1366.5116
 800310    70.50  1366.7320
 800311    71.50  1366.6929
 800312    72.50  1366.8933
 800313    73.50  1366.8442
 800314    74.50  1366.9149
 800315    75.50  1366.7458
 800316    76.50  1366.8665
 800317    77.50  1366.9371
 800318    78.50  1366.9978
 800319    79.50  1366.9886
 800320    80.50  1366.9395
 800321    81.50  1366.7305
 800322    82.50  1366.8011
 800323    83.50  1366.8219
 800324    84.50  1366.7827
 800325    85.50  1367.1430
 800326    86.50  1367.1937
 800327    87.50  1367.2044
 800328    88.50  1367.1353
 800329    89.50  1366.9963
 800330    90.50  1366.6975
 800331    91.50  1366.5285
 800401    92.50  1366.7089
 800402    93.50  1366.7697
 800403    94.50  1366.8203
 800404    95.50  1366.7113
 800405    96.50  1366.2726
 800406    97.50  1365.5045
 800407    98.50  1364.7663
 800408    99.50  1364.4375
 800409   100.50  1364.6380
 800410   101.50  1364.9483
 800411   102.50   -99.0000
 800412   103.50  1365.2994
 800413   104.50  1365.6297
 800414   105.50  1365.8502
 800415   106.50  1366.2603
 800416   107.50  1366.6306
 800417   108.50  1367.0807
 800418   109.50  1367.2812
 800419   110.50  1367.4118
 800420   111.50  1367.3327
 800421   112.50  1366.9440
 800422   113.50  1366.5453
 800423   114.50  1366.4463
 800424   115.50  1366.4270
 800425   116.50  1366.6075
 800426   117.50  1366.7481
 800427   118.50  1366.8288
 800428   119.50  1366.8895
 800429   120.50  1366.7704
 800430   121.50  1366.7012
 800501   122.50  1366.4324
 800502   123.50   -99.0000
 800503   124.50  1365.8647
 800504   125.50  1366.0153
 800505   126.50  1366.3555
 800506   127.50  1366.5960
 800507   128.50  1366.8664
 800508   129.50  1367.0569
 800509   130.50  1367.2075
 800510   131.50  1367.0884
 800511   132.50   -99.0000
 800512   133.50  1366.5606
 800513   134.50  1366.4816
 800514   135.50  1366.4024
 800515   136.50  1366.9325
 800516   137.50  1367.0231
 800517   138.50  1366.8541
 800518   139.50  1366.8050
 800519   140.50  1366.6958
 800520   141.50  1366.5269
 800521   142.50  1366.3379
 800522   143.50  1366.0491
 800523   144.50  1365.7303
 800524   145.50  1365.4614
 800525   146.50  1365.3623
 800526   147.50  1365.3830
 800527   148.50  1365.5935
 800528   149.50  1365.8140
 800529   150.50  1366.1143
 800530   151.50  1366.4846
 800531   152.50  1366.6052
 800601   153.50  1366.5261
 800602   154.50  1366.4170
 800603   155.50  1366.4477
 800604   156.50  1366.5084
 800605   157.50  1366.6190
 800606   158.50  1366.6498
 800607   159.50  1366.6605
 800608   160.50  1366.7013
 800609   161.50  1366.8817
 800610   162.50  1366.7227
 800611   163.50  1366.7834
 800612   164.50  1366.6743
 800613   165.50  1366.6951
 800614   166.50  1366.6359
 800615   167.50  1366.5268
 800616   168.50  1366.6275
 800617   169.50  1366.8279
 800618   170.50  1367.1184
 800619   171.50  1367.2289
 800620   172.50  1367.0799
 800621   173.50  1366.8410
 800622   174.50  1366.5521
 800623   175.50  1366.3033
 800624   176.50  1366.2741
 800625   177.50  1366.3847
 800626   178.50  1366.5453
 800627   179.50  1366.6858
 800628   180.50  1366.7865
 800629   181.50  1366.6474
 800630   182.50  1366.5184
 800701   183.50  1366.6390
 800702   184.50  1366.7196
 800703   185.50  1366.5806
 800704   186.50  1366.4815
 800705   187.50  1366.4523
 800706   188.50  1366.5829
 800707   189.50  1366.5837
 800708   190.50  1366.5145
 800709   191.50   -99.0000
 800710   192.50  1366.5161
 800711   193.50  1366.4768
 800712   194.50  1366.3279
 800713   195.50  1366.1289
 800714   196.50  1366.1096
 800715   197.50  1366.3601
 800716   198.50  1366.3509
 800717   199.50  1366.3117
 800718   200.50  1366.2326
 800719   201.50  1366.2033
 800720   202.50  1366.3839
 800721   203.50  1366.3846
 800722   204.50  1366.5253
 800723   205.50  1366.8056
 800724   206.50  1366.9662
 800725   207.50   -99.0000
 800726   208.50  1367.6768
 800727   209.50  1367.5078
 800728   210.50  1367.3088
 800729   211.50  1367.3396
 800730   212.50   -99.0000
 800731   213.50  1366.7718
 800801   214.50  1366.6927
 800802   215.50  1366.6535
 800803   216.50  1366.8041
 800804   217.50  1366.8748
 800805   218.50  1366.8655
 800806   219.50  1366.7764
 800807   220.50  1366.7472
 800808   221.50  1366.6881
 800809   222.50  1366.7488
 800810   223.50  1366.8095
 800811   224.50  1366.8602
 800812   225.50  1367.0606
 800813   226.50  1367.0215
 800814   227.50  1367.0722
 800815   228.50  1367.3426
 800816   229.50  1367.2535
 800817   230.50  1366.9646
 800818   231.50  1366.8356
 800819   232.50  1366.8064
 800820   233.50  1366.6174
 800821   234.50  1366.6881
 800822   235.50  1366.8587
 800823   236.50  1366.7895
 800824   237.50  1366.6304
 800825   238.50  1366.5713
 800826   239.50  1366.5021
 800827   240.50  1366.4930
 800828   241.50  1366.3539
 800829   242.50  1366.3446
 800830   243.50  1365.9360
 800831   244.50  1365.4174
 800901   245.50  1365.2784
 800902   246.50   -99.0000
 800903   247.50  1364.8504
 800904   248.50  1364.8612
 800905   249.50  1365.4212
 800906   250.50  1366.0512
 800907   251.50  1366.5613
 800908   252.50  1366.9616
 800909   253.50  1367.2719
 800910   254.50  1367.1528
 800911   255.50  1367.2535
 800912   256.50  1367.1444
 800913   257.50  1366.9754
 800914   258.50  1366.8463
 800915   259.50  1366.6872
 800916   260.50  1366.7879
 800917   261.50  1366.8785
 800918   262.50  1366.8594
 800919   263.50  1367.0199
 800920   264.50  1366.8009
 800921   265.50  1366.6519
 800922   266.50  1366.5128
 800923   267.50  1366.1341
 800924   268.50  1366.2248
 800925   269.50  1366.3554
 800926   270.50  1366.7956
 800927   271.50  1367.0460
 800928   272.50  1366.9669
 800929   273.50  1366.7280
 800930   274.50  1366.8486
 801001   275.50  1366.7095
 801002   276.50  1366.9300
 801003   277.50  1367.1405
 801004   278.50  1367.1812
 801005   279.50   -99.0000
 801006   280.50  1367.1328
